Datum;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
2021-01-24T23:59:59+01:00;10;9090868;Österreich;169706;1.8667744378204598;215792;2.37372272922674
2021-01-25T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-25T23:59:59+01:00;1;301203;Burgenland;5364;1.7808587563868898;6198;2.05774842880051
2021-01-25T23:59:59+01:00;2;568946;Kärnten;12522;2.2009118615826497;14911;2.62081111388427
2021-01-25T23:59:59+01:00;3;1717617;Niederösterreich;26152;1.5225745902608099;39166;2.2802522331812005
2021-01-25T23:59:59+01:00;4;1521843;Oberösterreich;33037;2.17085468080479;46056;3.02633057417881
2021-01-25T23:59:59+01:00;5;568317;Salzburg;10633;1.8709628605162298;14154;2.49051145751403
2021-01-25T23:59:59+01:00;6;1264384;Steiermark;28145;2.2259851437537996;40218;3.1808374670986
2021-01-25T23:59:59+01:00;7;769613;Tirol;14518;1.88640264652494;16157;2.09936682462484
2021-01-25T23:59:59+01:00;8;405542;Vorarlberg;10502;2.58962080376385;13588;3.35057774533834
2021-01-25T23:59:59+01:00;9;1973403;Wien;44257;2.24267420288709;52981;2.6847531903012203
2021-01-25T23:59:59+01:00;10;9090868;Österreich;185130;2.0364392047052102;242744;2.67019606928623
2021-01-26T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-26T23:59:59+01:00;1;301203;Burgenland;5364;1.7808587563868898;6198;2.05774842880051
2021-01-26T23:59:59+01:00;2;568946;Kärnten;12564;2.20829393299188;16591;2.91609397025377
2021-01-26T23:59:59+01:00;3;1717617;Niederösterreich;26716;1.5554107813325102;39502;2.29981421935158
2021-01-26T23:59:59+01:00;4;1521843;Oberösterreich;35027;2.3016171839013597;46496;3.05524288642127
2021-01-26T23:59:59+01:00;5;568317;Salzburg;10994;1.93448374762676;14089;2.47907417867141
2021-01-26T23:59:59+01:00;6;1264384;Steiermark;28325;2.24022132516704;57388;4.5388109941283705
2021-01-26T23:59:59+01:00;7;769613;Tirol;15068;1.95786713582021;16157;2.09936682462484
2021-01-26T23:59:59+01:00;8;405542;Vorarlberg;10502;2.58962080376385;13433;3.31235728975051
2021-01-26T23:59:59+01:00;9;1973403;Wien;44893;2.27490279481687;60025;3.0417000480895195
2021-01-26T23:59:59+01:00;10;9090868;Österreich;189453;2.0839924196457402;269194;2.96114738438618
2021-01-27T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-27T23:59:59+01:00;1;301203;Burgenland;5364;1.7808587563868898;7320;2.4302546787382595
2021-01-27T23:59:59+01:00;2;568946;Kärnten;12894;2.2662959226358903;18841;3.31156208146292
2021-01-27T23:59:59+01:00;3;1717617;Niederösterreich;27198;1.58347291625549;45022;2.6211897064363
2021-01-27T23:59:59+01:00;4;1521843;Oberösterreich;36051;2.3689040196656297;47288;3.10728504845769
2021-01-27T23:59:59+01:00;5;568317;Salzburg;11494;2.0224628156469;15091;2.65538423098376
2021-01-27T23:59:59+01:00;6;1264384;Steiermark;28868;2.28316713909698;57899;4.57922593136262
2021-01-27T23:59:59+01:00;7;769613;Tirol;15616;2.02907175424532;18641;2.4221264453693
2021-01-27T23:59:59+01:00;8;405542;Vorarlberg;10502;2.58962080376385;16601;4.09353408524888
2021-01-27T23:59:59+01:00;9;1973403;Wien;47551;2.40959398561774;63007;3.19280957817536
2021-01-27T23:59:59+01:00;10;9090868;Österreich;195538;2.1509277221933;289025;3.17928937038795
2021-01-28T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-28T23:59:59+01:00;1;301203;Burgenland;5616;1.8645232617205;7512;2.4939990637543397
2021-01-28T23:59:59+01:00;2;568946;Kärnten;14088;2.47615766698421;20071;3.52775131559058
2021-01-28T23:59:59+01:00;3;1717617;Niederösterreich;29345;1.7084716790763;46270;2.6938485122119804
2021-01-28T23:59:59+01:00;4;1521843;Oberösterreich;37535;2.4664173636833797;47288;3.10728504845769
2021-01-28T23:59:59+01:00;5;568317;Salzburg;12456;2.19173454251764;16213;2.85280925962095
2021-01-28T23:59:59+01:00;6;1264384;Steiermark;31289;2.47464377910508;57863;4.57637869507998
2021-01-28T23:59:59+01:00;7;769613;Tirol;16042;2.0844242495903798;23723;3.0824583264575804
2021-01-28T23:59:59+01:00;8;405542;Vorarlberg;11894;2.9328651533010097;16601;4.09353408524888
